DateID,Date,DayofWeek,Month,Quarter,Year,isWeekend
20200101,01/01/20,Wednesday,1,1,2020,FALSE
20200102,01/02/20,Thursday,1,1,2020,FALSE
20200103,01/03/20,Friday,1,1,2020,FALSE
20200104,01/04/20,Saturday,1,1,2020,TRUE
20200105,01/05/20,Sunday,1,1,2020,TRUE
20200106,01/06/20,Monday,1,1,2020,FALSE
20200107,01/07/20,Tuesday,1,1,2020,FALSE
20200108,01/08/20,Wednesday,1,1,2020,FALSE
20200109,01/09/20,Thursday,1,1,2020,FALSE
20200110,01/10/20,Friday,1,1,2020,FALSE
20200111,01/11/20,Saturday,1,1,2020,TRUE
20200112,01/12/20,Sunday,1,1,2020,TRUE
20200113,01/13/20,Monday,1,1,2020,FALSE
20200114,01/14/20,Tuesday,1,1,2020,FALSE
20200115,01/15/20,Wednesday,1,1,2020,FALSE
20200116,01/16/20,Thursday,1,1,2020,FALSE
20200117,01/17/20,Friday,1,1,2020,FALSE
20200118,01/18/20,Saturday,1,1,2020,TRUE
20200119,01/19/20,Sunday,1,1,2020,TRUE
20200120,01/20/20,Monday,1,1,2020,FALSE
20200121,01/21/20,Tuesday,1,1,2020,FALSE
20200122,01/22/20,Wednesday,1,1,2020,FALSE
20200123,01/23/20,Thursday,1,1,2020,FALSE
20200124,01/24/20,Friday,1,1,2020,FALSE
20200125,01/25/20,Saturday,1,1,2020,TRUE
20200126,01/26/20,Sunday,1,1,2020,TRUE
20200127,01/27/20,Monday,1,1,2020,FALSE
20200128,01/28/20,Tuesday,1,1,2020,FALSE
20200129,01/29/20,Wednesday,1,1,2020,FALSE
20200130,01/30/20,Thursday,1,1,2020,FALSE
20200131,01/31/20,Friday,1,1,2020,FALSE
20200201,02/01/20,Saturday,2,1,2020,TRUE
20200202,02/02/20,Sunday,2,1,2020,TRUE
20200203,02/03/20,Monday,2,1,2020,FALSE
20200204,02/04/20,Tuesday,2,1,2020,FALSE
20200205,02/05/20,Wednesday,2,1,2020,FALSE
20200206,02/06/20,Thursday,2,1,2020,FALSE
20200207,02/07/20,Friday,2,1,2020,FALSE
20200208,02/08/20,Saturday,2,1,2020,TRUE
20200209,02/09/20,Sunday,2,1,2020,TRUE
20200210,02/10/20,Monday,2,1,2020,FALSE
20200211,02/11/20,Tuesday,2,1,2020,FALSE
20200212,02/12/20,Wednesday,2,1,2020,FALSE
20200213,02/13/20,Thursday,2,1,2020,FALSE
20200214,02/14/20,Friday,2,1,2020,FALSE
20200215,02/15/20,Saturday,2,1,2020,TRUE
20200216,02/16/20,Sunday,2,1,2020,TRUE
20200217,02/17/20,Monday,2,1,2020,FALSE
20200218,02/18/20,Tuesday,2,1,2020,FALSE
20200219,02/19/20,Wednesday,2,1,2020,FALSE
20200220,02/20/20,Thursday,2,1,2020,FALSE
20200221,02/21/20,Friday,2,1,2020,FALSE
20200222,02/22/20,Saturday,2,1,2020,TRUE
20200223,02/23/20,Sunday,2,1,2020,TRUE
20200224,02/24/20,Monday,2,1,2020,FALSE
20200225,02/25/20,Tuesday,2,1,2020,FALSE
20200226,02/26/20,Wednesday,2,1,2020,FALSE
20200227,02/27/20,Thursday,2,1,2020,FALSE
20200228,02/28/20,Friday,2,1,2020,FALSE
20200229,02/29/20,Saturday,2,1,2020,TRUE
20200301,03/01/20,Sunday,3,1,2020,TRUE
20200302,03/02/20,Monday,3,1,2020,FALSE
