StoreID,StoreName,StoreType,StoreOpeningDate,Address,City,State,Country,Region,ManagerName
90142,The Customized Kiosk,Exclusive,4/1/2024,"9046 Casey Center North Emily, SD 23038",Mariaburgh,New Hampshire,Japan,West,Donna Santos
20093,The Minimalistic Showroom,Exclusive,10/12/2020,"68737 Nicole Plaza Port Isaacstad, LA 19125",Whiteville,Virginia,Panama,North,Deborah Davis
59540,The Premium Storefront,Exclusive,6/22/2024,"81209 Alicia Ridge Apt. 920 East Jilltown, KY 12527",Richardborough,Rhode Island,Andorra,West,Darryl White
62994,The Comfortable Franchisee,Exclusive,4/23/2022,"4175 Ronald Highway Warrenhaven, NY 20456",Kimburgh,Georgia,Serbia,West,Rachael Taylor
26077,The Cozy Franchisee,Outlet Stores,11/25/2022,"86414 Brown Corners Lake Christopher, VA 35486",Hornville,Louisiana,Uzbekistan,East,Joel Coleman
95434,The Comfortable Outlet,Exclusive,5/20/2020,"78615 Barnes Common Riveraberg, PW 25250",Whiteborough,Minnesota,Bolivia,West,Michael Jones
20990,The Custom Display,Exclusive,3/26/2022,"32283 Christopher Camp Apt. 792 East Robertborough, CO 17827",East Paul,Montana,Hungary,West,Julie Hughes
9866,The Innovative District,Exclusive,8/4/2024,"8986 Gabrielle Crescent Julietown, UT 47467",Potterchester,New Mexico,Jamaica,South,Michelle Martinez
56580,The Bright Merchandise,Outlet Stores,3/28/2024,"5262 Matthew Station Apt. 201 Lutzmouth, ID 75796",West Heather,Pennsylvania,Philippines,South,Richard Miranda
53695,The Bright Mall,SMB,8/20/2024,"7896 Emily Isle West Pamtown, CO 47610",Padillashire,Colorado,Kyrgyz Republic,East,Andre Wallace
48556,The Convenient Goods,SMB,4/18/2024,"7938 Emily Mount Mccoyfort, MN 83467",Wilsontown,Oklahoma,Mauritania,North,Jamie Hanson
35766,The Cozy Seller,Outlet Stores,12/10/2021,Unit 8822 Box 5438 DPO AE 54845,Scottfort,South Carolina,Mauritania,East,Ashlee Freeman
76056,The Exclusive Franchisee,SMB,4/6/2020,"148 Rose Drive Guerreromouth, CO 57448",Aaronport,Delaware,Bulgaria,South,Kaitlyn Frost
22308,The Custom Goods,SMB,6/23/2022,"332 Jeffrey Via West Stephaniefort, VA 22962",Brewerside,Hawaii,American Samoa,East,Mr. Calvin Gardner
12080,The Luxury Kiosk,Outlet Stores,3/6/2021,"474 Ball Harbors North Daniel, FM 31746",East Emilyton,Nevada,Armenia,East,Mary Moore
92186,The Eco-friendly Plaza,Exclusive,5/23/2020,"7316 Ayers Cliff Apt. 608 North Kimberly, MH 34596",Lake Justinborough,Georgia,Liberia,East,Julie Jones
14752,The Accessible Showroom,Outlet Stores,1/15/2024,"50922 Lee Village Port Trevor, WA 78757",Garciatown,New Mexico,Colombia,South,Tiffany Freeman
69633,The Trendy Plaza,Outlet Stores,6/8/2023,"7775 Gardner Ports Apt. 207 Lake Terrenceburgh, NY 31078",West Rachel,Kansas,Costa Rica,South,Daryl Morales
53446,The Modern Plaza,Outlet Stores,5/3/2022,"5757 Jonathan Crossroad Suite 157 North Jaclyntown, WY 67637",Pottsburgh,Colorado,Palestinian Territory,South,Jeremy Strong
38630,The Affordable Storefront,Outlet Stores,6/6/2024,USNS Williams FPO AA 47007,West Kathryn,New Mexico,Guyana,North,Dylan Miller
35659,The Local Seller,Outlet Stores,11/15/2024,"43775 Jimenez Crossroad Lake Vickiemouth, AK 88726",Andrewburgh,North Carolina,Myanmar,East,Nicholas Potter MD
72758,The Popular Goods,Exclusive,3/5/2023,"5433 Smith Shoals Apt. 369 Kingborough, ME 99108",North Kaylabury,California,Serbia,South,Richard Alvarez
40850,The Minimalistic Outlet,SMB,6/9/2022,"PSC 8494, Box 4198 APO AP 71014",Juliemouth,South Dakota,Togo,West,Alexa Brown
67477,The Accessible Stand,SMB,7/15/2021,"73634 Kevin Port Apt. 274 New Stefanieburgh, MD 08695",Coleburgh,Oregon,Equatorial Guinea,South,Jacqueline Harper
74448,The Customized Depot,SMB,4/24/2020,"21459 Jackson Crest Apt. 395 Raymondmouth, KS 25280",Port Shirleyton,North Dakota,Puerto Rico,East,Jennifer Warren
56918,The Bright Vendor,Exclusive,6/15/2023,"433 Williams Park Suite 528 East Misty, WI 62686",Sheltonstad,Mississippi,United States of America,South,Kelly West
34719,The Trendy Seller,Exclusive,1/16/2023,"29085 Daniel Pines Apt. 219 Jimenezside, VI 15740",Lake Alexander,Delaware,Tunisia,West,Samuel Yates
3379,The Local Retailer,MBO,1/7/2025,"989 Frank Vista Port Samantha, MH 38337",Tammymouth,Montana,Antigua and Barbuda,North,Cory Parks
4462,The Minimalistic Stand,MBO,12/22/2024,"20205 Wall Freeway Apt. 997 East Richard, PW 40901",Lauramouth,Tennessee,India,East,Patrick Mason DDS
25830,The Convenient Depot,Exclusive,3/15/2023,"673 Butler Crossing Wonghaven, AZ 04208",Jillport,South Dakota,Peru,South,Joshua Lester
45736,The Popular Warehouse,Outlet Stores,3/12/2023,"513 Castaneda Rest Hamiltonport, OH 83674",New Jerry,Michigan,Gabon,South,Matthew Nielsen
32622,The Popular Brand,Outlet Stores,1/8/2023,"22174 William Junctions Apt. 331 Lake Benjamintown, NC 83002",East Chad,Washington,Cuba,East,Dr. Philip Nichols DDS
77396,The Sustainable Goods,Exclusive,2/8/2025,"927 Daniel Junctions South Joshua, NM 06352",North Laura,Missouri,Burkina Faso,North,Laura Cox
67866,The Upscale Warehouse,Exclusive,7/14/2020,"9907 Edward Brooks Apt. 983 South Brianhaven, RI 41034",Lake Davidburgh,Nebraska,Wallis and Futuna,South,Kaitlyn Levy
69116,The Eco-friendly Location,MBO,4/11/2020,"611 Sharon Ridge East Amber, NH 20305",Morrowchester,South Carolina,Angola,South,Joseph Nash
11412,The Local Plaza,SMB,4/2/2021,"79567 Ward Flats Lawrenceberg, LA 16624",Port Jason,South Dakota,El Salvador,North,Steve Delgado
9595,The Local Boutique,SMB,1/13/2022,"940 Knight Neck Suite 612 Lake Patricia, AL 74669",Grayberg,Kentucky,Svalbard & Jan Mayen Islands,North,Matthew Simon
70092,The Upscale Kiosk,MBO,4/4/2020,"4886 Samantha Courts Suite 610 New Stephenmouth, MP 94054",Port Ronald,Florida,Luxembourg,South,Frederick Boyd
5777,The Unique Brand,Outlet Stores,11/7/2023,"8983 Roberto Squares Apt. 806 New Leah, PR 77276",South Joseph,Arizona,Netherlands,North,Julie Best
95562,The Trendy Kiosk,MBO,3/16/2022,"26390 Annette Oval Suite 379 Richardsonton, WA 26567",Robertsburgh,Florida,Niger,East,Judith Flores
77229,The Unique Goods,Exclusive,1/25/2022,"373 Pratt Loop Suite 628 New Seanton, SC 61533",Amyburgh,Wisconsin,Portugal,South,Jennifer Romero
1256,The Vintage Storefront,Outlet Stores,3/5/2020,"0590 Stacy Isle Suite 848 West Julianshire, ID 52908",North Natalie,Georgia,Cuba,North,David Williams
12838,The Luxury Plaza,Outlet Stores,11/21/2023,"63899 Brandon Estates West Deanfurt, MH 51667",West Cody,Tennessee,Benin,West,Matthew Olson
35751,The Modern Franchise,Exclusive,9/5/2024,"303 Lester Islands Apt. 651 North Katelynview, NV 98639",Robinmouth,Kentucky,Faroe Islands,East,Anthony Osborn
33178,The Spacious Depot,Outlet Stores,12/25/2022,"82736 Walker Pass Jonathanmouth, GA 60365",Williamport,Ohio,Sierra Leone,North,Jennifer Rangel
1494,The Affordable Market,MBO,11/21/2020,"PSC 8986, Box 6733 APO AP 54516",East Robertland,Mississippi,Mayotte,South,Monique Park
85141,The Convenient Goods,Exclusive,10/24/2023,"11528 Palmer Lock Cervantesview, VT 18945",Williamshire,West Virginia,Bulgaria,North,Nicholas Fisher
997,The Minimalistic Franchise,SMB,1/12/2024,"7067 Alvarado Road South Joseph, WY 34401",Lake Suzanne,North Dakota,Montenegro,South,Brittany Chavez
43426,The Accessible Plaza,Exclusive,12/8/2022,"PSC 2857, Box 3450 APO AE 17059",Brookeborough,Pennsylvania,Saint Vincent and the Grenadines,North,Dr. Robert Turner MD
46101,The Affordable Seller,MBO,7/25/2022,"45204 Judith Freeway Andreaton, AR 71935",Port Kimberly,Arkansas,Tanzania,South,Christine Jackson
47290,The Comfortable Goods,Outlet Stores,1/12/2024,"50231 Trujillo Summit Jenniferburgh, AZ 22746",Lake Ronald,Texas,Albania,South,Mitchell Livingston
88420,The Trendy Inventory,SMB,6/8/2020,"54665 Deleon Pines Suite 527 Georgehaven, CT 24018",Keithberg,Mississippi,Belgium,North,Regina Murray
63339,The Popular Outlet,MBO,8/5/2023,"308 Sarah Islands West Karaville, CT 59949",Robinstad,Wyoming,Papua New Guinea,South,Jose Jacobs
72507,The Bright Inventory,Outlet Stores,10/30/2021,"2447 Larry Valleys North Christian, PW 11643",Port Rodney,New Jersey,Vietnam,South,Ashley Sexton
73549,The Cozy Depot,SMB,10/15/2020,"27592 Albert Spurs West Jordan, NC 72189",Watsonstad,Pennsylvania,Saint Martin,South,Stacy Haynes
86314,The Innovative Service,Outlet Stores,1/10/2020,"36474 Nicole Streets Farleyside, SC 60093",West Lance,Kansas,Costa Rica,West,Brent Palmer
41799,The Practical Storefront,MBO,6/4/2023,"7870 Flores Garden North Stacie, WI 04905",Carrollport,New York,Albania,West,Adam Barker
916,The Popular Seller,SMB,6/10/2024,"743 Philip Knolls Suite 116 Lake Dave, ME 13594",Port Rachel,Arizona,Brunei Darussalam,North,Sandra Goodman
92507,The Customized Merchandise,Exclusive,1/15/2020,"050 Faulkner Parks Apt. 274 Lake Cindy, ND 69755",West Melindahaven,Montana,Anguilla,West,Scott Miller III
81113,The Spacious Franchisee,SMB,3/20/2022,"40753 Benjamin Fields Suite 653 South Steven, TN 13243",Shannonshire,South Carolina,French Polynesia,South,Jose Barnett
55923,The Convenient Franchisee,Exclusive,10/25/2024,"2692 Medina Course Suite 498 North Sarah, NV 72353",Randyburgh,New Hampshire,Albania,East,Tabitha Rhodes
33927,The Exclusive Kiosk,Exclusive,9/8/2023,"22354 Estes Mission North Danielle, SC 03273",Lake Nathan,New Mexico,Jordan,South,Nancy Taylor
17715,The Modern Goods,Exclusive,1/30/2025,USCGC Garcia FPO AA 81642,Lake Heatherfort,Nebraska,Gibraltar,West,Benjamin Williams
72344,The Sustainable Plaza,SMB,4/7/2021,"56978 Veronica Lock Apt. 821 Johnmouth, VA 06664",East Elizabethbury,North Carolina,Mozambique,East,Terry Warren
85310,The Modern Warehouse,MBO,3/22/2022,"7159 Wallace Field New Pamela, AK 80331",Kevinstad,South Carolina,Belarus,West,Denise Moyer
35878,The Comfortable Outlet,Outlet Stores,12/21/2020,"06631 Larry Bridge Ericmouth, NY 46543",Mitchellshire,Nebraska,New Caledonia,North,Kristie Martinez
62784,The Bright Collection,Exclusive,5/15/2022,USNS Andrews FPO AP 47008,Douglasstad,Delaware,Belgium,North,Raven Durham
30502,The Customized Service,Exclusive,9/6/2020,"34855 Nathan Inlet Apt. 492 Lake Erin, HI 51516",East Karenmouth,Texas,Dominica,East,Michelle Chung
45720,The Modern Retailer,Outlet Stores,1/18/2024,"4421 Charles Neck Suite 811 Averyport, VA 79606",East Staciehaven,Alabama,Chad,East,Sylvia Smith
84253,The Unique Shop,Exclusive,11/1/2023,"160 Courtney Manor Apt. 357 Shelbymouth, HI 02002",Carmenland,Minnesota,Gibraltar,West,Robert Barr
73257,The Sustainable Merchandise,Outlet Stores,5/11/2024,"24769 Morgan Track Port Luiston, MH 72348",West Ashleytown,Arizona,Afghanistan,North,Amber Cabrera
19766,The Practical Retailer,SMB,11/13/2023,"573 Gilbert Lane Lake Matthewmouth, OH 24355",New Dwayneview,New York,Italy,South,Susan Reed
22657,The Exclusive Boutique,SMB,12/29/2023,"397 Scott Vista Brookehaven, MN 69538",Travisburgh,Nevada,Senegal,East,Tina Hardy
47378,The Bright Seller,Outlet Stores,1/2/2025,"395 Anthony Dam East Summerland, NY 45159",Jonestown,Louisiana,Qatar,East,Carl Johnston
58027,The Minimalistic Franchise,MBO,5/30/2021,"590 Moss Stravenue West Josephfurt, ID 70197",Peterfurt,Arizona,Brunei Darussalam,North,William Lyons
30089,The Vintage Location,MBO,12/11/2024,"31187 Thomas Trace Apt. 219 Debrafurt, LA 16275",Craigstad,New York,Antarctica (the territory South of 60 deg S),North,Wanda Wright
32932,The Eco-friendly Merchandise,SMB,3/2/2022,"4802 Brian Ferry Michaelmouth, GU 89340",East Nicolas,New Jersey,Cape Verde,North,Jesse Williams
78073,The Minimalistic Market,Exclusive,10/20/2024,"99672 Melody Point Apt. 137 Hollandmouth, CT 35289",Montoyamouth,Arizona,Egypt,West,Bonnie Finley
50092,The Convenient Franchisee,MBO,1/5/2024,"08081 Wells Route Suite 943 Greenmouth, MN 93630",Lunafurt,Vermont,Sweden,North,Richard Alvarez
93642,The Minimalistic Display,Outlet Stores,3/12/2022,"366 Gabriel Point Apt. 079 Annport, WA 21654",South Thomasshire,Nevada,Singapore,West,Jessica Robles
51120,The Upscale Boutique,MBO,6/20/2024,"25158 Lisa Vista Suite 056 South Ronaldborough, IL 16585",East David,Wisconsin,Iran,South,Lisa Lopez
29909,The Convenient District,Outlet Stores,9/27/2022,"33609 Hughes Flat West Carl, NE 87183",Thomasmouth,Illinois,Heard Island and McDonald Islands,West,Daniel Bailey
16850,The Affordable Boutique,Outlet Stores,12/20/2022,"1520 Jessica Inlet Suite 584 Reynoldsview, NM 80932",South Michael,Rhode Island,United States Virgin Islands,West,Angela Baker
45543,The Comfortable Location,MBO,10/15/2023,"379 Smith Prairie Shawnbury, MN 44568",Brianaview,North Carolina,Papua New Guinea,South,Stephen Byrd
61899,The Global Shop,SMB,4/22/2022,"18473 Jessica Estate Lauratown, MN 38200",North Brucehaven,New Hampshire,Japan,East,Eddie Underwood
69795,The Unique Inventory,Exclusive,8/31/2024,"72760 Garrett Drive West Barbaraborough, SD 09717",Langfurt,Kentucky,Bahrain,East,David Reynolds
66411,The Popular Hall,Exclusive,6/9/2022,"49080 Michelle Bypass East Sandraport, SC 86850",Lake Valerieton,Minnesota,French Southern Territories,East,Andrew Rivera
53829,The Comfortable Vendor,Outlet Stores,2/26/2020,"PSC 3433, Box 6673 APO AE 11655",Douglasport,Montana,Serbia,East,Stephanie Rojas
52039,The Minimalistic Franchise,MBO,4/29/2023,"382 Michael Canyon Apt. 571 North Alejandro, ID 03559",Jaredberg,Kansas,Samoa,West,Kyle Edwards
3013,The Minimalistic Stand,Outlet Stores,11/6/2022,"6736 Angel View North Sara, AK 91888",Patriciamouth,Idaho,Costa Rica,East,Christopher Lawrence
1312,The Sustainable Depot,Outlet Stores,7/25/2021,"9194 Daniel Village Suite 495 Hernandezfort, PA 11396",Taylorland,West Virginia,Thailand,East,Tina Trevino
80694,The Bright Brand,Exclusive,11/25/2024,"3307 Toni Cape Suite 154 South Lisa, AL 23522",South Briana,Maine,Greece,South,Rebecca Reyes
19478,The Premium Boutique,SMB,12/23/2020,"5025 Ryan Greens Apt. 142 Stephensmouth, HI 27483",South Alan,New Mexico,Uruguay,South,Krista Perez
8585,The Elegant Outlet,Exclusive,7/31/2023,"96105 Hernandez Greens Brianport, MO 94735",East Alexa,Maine,Togo,North,Suzanne Sullivan
24604,The Custom Goods,MBO,2/20/2023,"384 Emily Rapid South Michael, AS 32010",Craigmouth,Rhode Island,Gabon,North,Joel Flores
75896,The Customized Outlet,Outlet Stores,10/5/2021,"0245 Jeanne Rapids Lewismouth, ME 38610",East Karlatown,Louisiana,Lesotho,South,John Lopez
62621,The Modern Boutique,SMB,8/28/2024,"5944 Carolyn Via Suite 996 East Kelly, AR 35912",Adamtown,Massachusetts,Wallis and Futuna,South,Brian Young
74704,The Sustainable Inventory,MBO,2/26/2022,"4866 Cristian Shore Suite 812 North Ruthfurt, LA 02666",Fuentesstad,Georgia,Kuwait,West,Jessica Olson
18733,The Popular Warehouse,Outlet Stores,1/13/2023,"8466 William Orchard Suite 310 Haydenfurt, TN 56385",South Dominiquestad,Rhode Island,Heard Island and McDonald Islands,North,Dennis Wilkerson
86117,The Unique Plaza,Outlet Stores,3/7/2020,"10627 Dylan Ports Vincentburgh, MH 34549",Sullivanfort,Pennsylvania,Cook Islands,North,Eric Pitts
61742,The Vintage Collection,Exclusive,3/12/2023,"50649 Woods Springs East Amber, DE 30373",Jenningsbury,Nebraska,Mali,East,Kevin Ferguson
39617,The Elegant Depot,MBO,5/4/2023,"PSC 3261, Box 6769 APO AP 47191",Mortonbury,Rhode Island,Montenegro,East,Nicholas Garza
29356,The Local Brand,MBO,3/2/2023,"0244 Jacob Village Suite 334 Port Tammy, MI 60834",North Matthewbury,North Dakota,Morocco,South,Nathan Maynard
72561,The Cozy Emporium,SMB,12/12/2024,"2959 Dawson Burgs Port Victor, MA 60434",New Elizabethland,Vermont,Austria,East,David Lopez
21382,The Chic Storefront,MBO,2/24/2025,"442 Murphy Causeway Suite 562 South Teresa, WI 22585",Thomasstad,Idaho,Solomon Islands,North,Sharon Watson
47726,The Unique Warehouse,Outlet Stores,8/16/2021,"3324 Christopher Drives Suite 791 Robertstad, FL 15757",West Benjaminfort,Ohio,Togo,South,Dr. Austin Mcmahon
86634,The Practical Hall,SMB,2/15/2023,"2653 Brown Cove Apt. 597 Michellemouth, MN 82477",South Lauren,Arizona,Peru,North,Elizabeth Lang
51993,The Modern Plaza,SMB,3/18/2021,"874 David Lakes Apt. 138 North Josephport, MS 04986",Patriciafurt,Texas,Guyana,East,Robert Cooper
71685,The Accessible Storefront,MBO,9/2/2024,"PSC 4060, Box 3547 APO AP 89410",East David,Wyoming,Greenland,North,Douglas Carroll
64959,The Affordable Retailer,MBO,7/28/2023,"533 John Orchard Apt. 552 New Brianborough, ND 23367",Devinfort,Montana,Tuvalu,West,David Graham
13821,The Vintage Mall,Exclusive,2/9/2024,"9671 Stewart Gateway North Geraldside, GU 68863",East Charleschester,Iowa,Congo,North,Joseph Carter
97095,The Popular Market,Outlet Stores,1/29/2020,"17563 Patricia Trafficway Robertshaven, ID 93267",West Donnaville,Kentucky,Mauritania,North,Julia Martin
91162,The Bright Plaza,SMB,10/31/2021,"95720 Ross Shoal Apt. 609 South Thomas, PW 29780",Port Robert,North Carolina,British Indian Ocean Territory (Chagos Archipelago),West,Nicole Benson
97523,The Bright Franchisee,Exclusive,2/1/2024,"6249 Brittany Extensions Apt. 092 New Christophermouth, MH 77729",South Eric,Missouri,Zambia,West,Debra Vincent
59067,The Elegant Kiosk,MBO,1/21/2023,"346 Joel Junction Suite 382 Larrychester, AK 02480",Lake Garrettmouth,Washington,Chile,West,Jacob Barrett
2454,The Practical Storefront,SMB,5/22/2021,"97137 Lisa Lakes Suite 013 Port Stevenborough, NC 49659",Alvinbury,New Mexico,Tunisia,West,Karen Rosales
